Manufacture of mattresses ,3103,374.6,533.8
Manufacture of other furniture,3109,372,427
Other manufacturing ,32,459,546.7
"Manufacture of jewellery, bijouterie and related articles ",321,455.1,531.6
Striking of coins ,3211,494.6,524
Manufacture of jewellery and related articles ,3212,,535.1
Manufacture of imitation jewellery and related articles ,3213,,
Manufacture of musical instruments ,322,,339.6
Manufacture of musical instruments ,3220,,339.6
Manufacture of sports goods ,323,376.8,429.2
Manufacture of sports goods ,3230,376.8,429.2
Manufacture of games and toys ,324,,556.9
Manufacture of games and toys ,3240,,556.9
Manufacture of medical and dental instruments and supplies ,325,476.1,592.7
Manufacture of medical and dental instruments and supplies ,3250,476.1,592.7
Other manufacturing ,329,467,500
Manufacture of brooms and brushes ,3291,,527.4
Other manufacturing n.e.c. ,3299,433.4,496.3
Repair and installation of machinery and equipment ,33,597.9,673.6
"Repair of fabricated metal products, machinery and equipment",331,583.3,662.4
Repair of fabricated metal products ,3311,,533.4
Repair of machinery ,3312,600.1,670
Repair of electronic and optical equipment  ,3313,499,516.7
Repair of electrical equipment ,3314,,589.4
Repair and maintenance of ships and boats ,3315,500.4,628.1
Repair and maintenance of aircraft and spacecraft ,3316,724.5,743.9
Repair and maintenance of transport equipment n.e.c. ,3317,763,775.5
Repair of other equipment ,3319,,611.8
Installation of industrial machinery and equipment,332,632,719.5
Installation of industrial machinery and equipment ,3320,632,719.5
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,710.7,797.5
"Electricity, gas, steam and air conditioning supply ",35,710.7,797.5
"Electric power generation, transmission and distribution ",351,719.8,811.4
Production of electricity ,3511,937.7,983.1
Transmission of electricity ,3512,,
Distribution of electricity ,3513,678.1,747.6
Trade of electricity ,3514,,567.1
Manufacture of gas; distribution of gaseous fuels through mains ,352,691,769.1
Manufacture of gas ,3521,837,926.1
Distribution of gaseous fuels through mains ,3522,647.2,711.2
Trade of gas through mains ,3523,635.7,686.8
Steam and air conditioning supply ,353,,
Steam and air conditioning supply ,3530,,
"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,500,567.9
"Water collection, treatment and supply ",36,579.5,656.2
"Water collection, treatment and supply ",360,579.5,656.2
"Water collection, treatment and supply ",3600,579.5,656.2
Sewerage ,37,530.8,591.8
Sewerage ,370,530.8,591.8
Sewerage ,3700,530.8,591.8
"Waste collection, treatment and disposal activities; materials recovery ",38,452.3,529.4
Waste collection ,381,443.4,530.9
Collection of non-hazardous waste ,3811,442.7,528.6
Collection of hazardous waste,3812,,
Waste treatment and disposal ,382,519.9,581.6
Treatment and disposal of non-hazardous waste ,3821,438.1,504.4
Treatment and disposal of hazardous waste ,3822,630,671.4
Materials recovery ,383,427,468.2
Dismantling of wrecks ,3831,,
Recovery of sorted materials  ,3832,427.3,470.7
Remediation activities and other waste management services ,39,,550.6
Remediation activities and other waste management services ,390,,550.6
Remediation activities and other waste management services ,3900,,550.6
CONSTRUCTION ,F,552,633.1
Construction of buildings ,41,598.2,715.2
Development of building projects ,411,671.4,812.5
Development of building projects ,4110,671.4,812.5
Construction of residential and non-residential buildings ,412,589.7,698.7
Construction of residential and non-residential buildings  ,4120,589.7,698.7
Civil engineering ,42,587.1,681.6
Construction of roads and railways ,421,572.4,629.2
Construction of roads and motorways ,4211,570.5,629.3
Construction of railways and underground railways ,4212,589.6,641.9
Construction of bridges and tunnels ,4213,457.8,511.1
Construction of utility projects ,422,576.9,634.9
Construction of utility projects for fluids ,4221,,369.2
Construction of utility projects for electricity and telecommunications ,4222,587.9,649.6
Construction of other civil engineering projects ,429,592.6,707
Construction of water projects  ,4291,,
Construction of other civil engineering projects n.e.c. ,4299,593.3,708.4
Specialised construction activities ,43,519.2,568.9
Demolition and site preparation ,431,488.3,552.8
