EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
Oxford Archaeology Ltd.,"Janus House,
Osney Mead,
Oxford,
United Kingdom,
OX2 0ES",01618597,72200,5.20,0.00,0.00,0.00,0.00,0.00,51.00,49.00,62.00,38.00,64.00,36.00,63.00,37.00,,Simon Palmer (Company Secretary)
Oxford Diocesan Schools Trust,"Church House,
Langford Locks,
Kidlington,
Oxfordshire,
United Kingdom,
OX5 1GF",08143249,85600,17.80,23.70,0.00,0.00,0.00,0.00,7.00,93.00,5.00,95.00,8.00,92.00,11.00,89.00,https://secure.toolkitfiles.co.uk/clients/26519/sitedata/Starter/Gender-pay-gap-March-2017.pdf,Anne Davey (Chief Executive Officer)
OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,"Tubney Woods, Abingdon,
Oxon,
OX13 5QX",00704320,26511,10.80,19.90,-6.90,5.40,22.10,17.50,75.00,25.00,74.80,25.20,84.90,15.10,89.30,10.70,http://www.oxford-instruments.com/gender-pay-report,Vicki Potter (Group HR Director)
Pacific Care Ltd.,"CAMPBELL DALLAS LLP,
Titanium 1 King's Inch Place,
Renfrew,
United Kingdom,
PA4 8WF",SC174016,86900,0.00,0.00,0.00,0.00,0.00,2.00,14.00,86.00,12.00,88.00,11.00,89.00,13.00,87.00,,Angela Colthart (Human Resource Manager)
Panalpina World Transport Ltd.,"Panalpina House,
Great South West Road,
Feltham,
Middlesex,
United Kingdom,
TW14 8NU",00357697,"52101,
52102,
52241,
52242",23.90,10.70,64.30,20.60,81.20,76.40,61.00,39.00,43.90,56.10,54.90,45.10,66.30,33.70,http://panalpina.com/www/gbr/en/home/Documents.html,Katie Herdman (HR Director)
Parkinson's Disease Society Of The United Kingdom,"215 Vauxhall Bridge Road,
London,
United Kingdom,
SW1V 1EJ",00948776,96090,12.30,5.90,0.00,0.00,0.00,0.00,22.00,78.00,12.00,88.00,17.00,83.00,32.00,68.00,https://www.parkinsons.org.uk/about-us/parkinsons-uk-gender-pay-report,Carolyn Nutkins (Director of Organisational Development)
Paultons Park Ltd.,"Paultons Park,
Ower Romsey,
Hampshire,
United Kingdom,
SO51 6AL",02029374,93290,13.20,5.90,75.00,40.10,26.50,15.10,41.70,58.30,43.50,56.50,40.90,59.10,53.00,47.00,,Sara Mancey (HR & Administration Director)
Peartree Cleaning Services Holdings Ltd.,"Peartree House 1,
Britannia Road,
Brentwood,
Essex,
United Kingdom,
CM14 5LD",08786814,82990,0.00,0.00,0.00,0.00,0.00,0.00,39.00,61.00,39.00,61.00,50.00,50.00,66.00,34.00,,Stuart Conroy (Commercial Director)
Peninsula Learning Trust,"Unit 18 St Austell Business Park,
Treverbyn Road,
St. Austell,
Cornwall,
England,
PL25 4FD",07565242,"1,
85200,
85310",35.20,59.80,0.00,0.00,0.00,0.00,8.60,91.40,8.60,91.40,24.30,75.70,32.90,67.10,http://peninsulatrust.org/,
Penumbra,"Norton Park,
57 Albion Road,
Edinburgh,
United Kingdom,
EH7 5QY",SC091542,"86900,
87200,
88990,
94990",4.60,0.00,0.00,0.00,0.00,0.00,22.90,77.10,30.20,69.80,29.20,70.80,26.00,74.00,http://www.penumbra.org.uk/about-us/people/,Joanne Mayne (Director of Corporate Services)
