EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
Harrogate Borough Council,"Civic Centre,
HG1 9RW",,1,-0.50,-4.10,0.00,0.00,0.00,0.00,56.80,43.20,49.10,50.90,48.40,51.60,47.40,52.60,https://www.harrogate.gov.uk/genderpay,
Harrogate Council,"Council Offices,
Crescent Gardens,
Harrogate,
North Yorkshire,
United Kingdom,
HG1 2SG",,"1,
84110",3.00,0.00,0.00,0.00,0.00,0.00,58.00,42.00,49.00,51.00,52.00,48.00,47.00,53.00,,
Harry Fairbairn Ltd.,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC043023,"45111,
45112,
45200",20.80,13.40,57.20,46.50,97.40,93.80,88.80,11.20,61.80,38.20,60.70,39.30,73.00,27.00,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Human Resources Director)
Harsco,"Harsco House,
Regent Park,
299 Kingston Road Leatherhead,
Surrey,
United Kingdom,
KT22 7SG",00569823,25990,-45.90,-36.10,-103.40,0.00,73.50,58.00,96.00,4.00,98.00,2.00,97.00,3.00,89.00,11.00,http://www.harsco.com/about-us/core-values.aspx,Graham Stubbs (Vice President - Global Operations)
Havelock Europa PLC,"I2 Mansfield,
Hamilton Court Hamilton Way Oakham Business Park,
Mansfield,
Nottinghamshire,
United Kingdom,
NG18 5FB",00782546,31010,15.60,10.10,0.00,0.00,0.00,0.00,81.80,18.20,96.60,3.40,65.20,34.80,91.00,9.00,https://www.havelockeuropa.com/safety-sustainability,Alan Tait (Head of HR)
Hayley Group Ltd.,"Shelah Road,
Halesowen,
West Midlands,
United Kingdom,
B63 3XL",01257303,46690,18.60,11.20,65.70,0.00,93.30,94.70,82.50,17.50,79.70,20.30,78.30,21.70,93.70,6.30,,Jemma McDonald (HR Director)
Healing Multi Academy Trust,"LOW ROAD,
HEALING,
United Kingdom,
DN41 7QD",07345756,"1,
85310",29.60,55.50,0.00,0.00,0.00,0.00,2.70,97.30,17.10,82.90,15.80,84.20,25.30,74.70,http://www.healingmultiacademytrust.co.uk/gender-pay-gap-reporting/,
Health & Safety Executive,"Redgrave Court,
Merton Road,
Bootle,
L20 7HS",,"1,
84110",22.90,26.00,3.20,0.00,89.20,88.70,33.10,66.90,39.40,60.60,57.60,42.40,72.70,27.30,http://www.hse.gov.uk/aboutus/reports/gender-pay-gap-2017.pdf,
Henkel Ltd.,"Henkel Limited,
Wood Lane End,
Hemel Hempstead,
Hertfordshire,
United Kingdom,
HP2 4RQ",00215496,20590,29.90,32.70,56.20,75.10,91.70,86.90,36.00,64.00,52.00,48.00,71.00,29.00,77.00,23.00,https://www.henkel.co.uk/company/corporate-statutory-compliance,"Peter Budden (President, UK & Ireland)"
Henley College Coventry,"Henley Road,
Bell Green,
Coventry,
CV2 1ED",,1,15.20,21.10,0.00,0.00,0.00,0.30,22.00,78.00,27.00,73.00,42.00,58.00,48.50,51.50,,
Her Majesty's Land Registry,"Trafalgar House,
1 Bedford Park,
CR0 2AQ",,"1,
64204",9.00,18.50,7.40,0.00,88.40,89.50,32.90,67.10,34.20,65.80,39.60,60.40,53.30,46.70,https://www.gov.uk/government/publications/hm-land-registry-gender-pay-gap-report-and-data-2017,
Heritage Manor Ltd.,"Coach House The Lawns,
Kempsey,
Worcester,
Worcestershire,
United Kingdom,
WR5 3NF",01305965,"41100,
86900",0.30,-1.00,95.90,98.20,2.80,3.70,14.30,85.70,14.30,85.70,10.00,90.00,12.90,87.10,,Simon Patient (Managing Director)
HIGH LIFE HIGHLAND,"13, Ardross Street,
Inverness,
IV3 5NS",SC407011,"85510,
85520,
91011,
93110",5.40,4.30,0.00,0.00,0.00,0.00,30.00,70.00,40.00,60.00,38.00,62.00,38.00,62.00,https://www.highlifehighland.com/about/governance/,Ian Murray (Chief Executive)
HIGHLAND HOME CARERS LIMITED,"3, Stadium Road,
Inverness,
Highland,
IV1 1FF",SC203954,82990,1.50,0.00,3.30,0.00,100.00,100.00,15.20,84.80,15.00,85.00,13.50,86.50,12.70,87.30,,Laura Mackenzie (Company Accountant)
Hinchingbrooke School,"BRAMPTON ROAD,
Huntingdon,
PE29 3BN",07732319,"1,
85310",20.10,32.10,0.00,0.00,0.00,0.00,35.10,64.90,21.10,78.90,40.40,59.60,57.10,42.90,,
HM Revenue and Customs (HMRC),"100 Parliament Street,
London,
SW1A 2BQ",,1,8.90,12.50,9.10,0.00,54.30,55.60,45.40,54.60,34.00,66.00,46.20,53.80,53.30,46.70,https://www.gov.uk/government/publications/hmrc-and-voa-gender-pay-gap-report-and-data-2017,
HM Treasury,"1 Horse Guards Road,
London,
SW1A 2HQ",,1,7.10,13.70,33.50,20.00,43.00,38.00,45.00,55.00,51.00,49.00,59.00,41.00,54.00,46.00,https://www.gov.uk/government/publications/hm-treasury-gender-pay-gap-report-2016-to-2017,
HML HOLDINGS PLC,"9-11, The Quadrant,
Richmond,
TW9 1BP",05728008,70100,19.40,9.80,73.60,73.60,16.00,26.00,46.00,54.00,42.00,58.00,42.00,58.00,77.00,23.00,https://ourclients.randstad.co.uk/hml/our-history/#CSR,Richard Scott (Head of Human Resources)
Home Office,"Peel Building, Marsham Street,
SW1P 4DF",,1,10.10,15.10,16.60,13.00,28.00,25.50,39.40,60.60,40.00,60.00,53.30,46.70,58.10,41.90,https://www.gov.uk/government/publications/home-office-gender-pay-gap-report-and-data-2017,
Hopwells Ltd,"Glaisdale Drive,
Bilborough,
Notts,
United Kingdom,
NG8 4LU",01404481,56290,2.10,5.50,39.30,15.50,100.00,94.60,48.50,51.50,91.20,8.80,91.20,8.80,70.20,29.80,http://www.hopwells.com,Nicola Kolasa (Finance Director)
Horizons Specialist Academy Trust,"ABBEY HILL ACADEMY,
KETTON ROAD,
United Kingdom,
TS19 8BU",08608287,"1,
85590",26.70,34.00,0.00,0.00,0.00,0.00,14.90,85.10,19.10,80.90,25.40,74.60,46.30,53.70,http://www.horizonstrust.org.uk/gender-pay-gap/,
Houghton PLC,"Beacon Road,
Trafford Park,
Manchester,
Lancashire,
United Kingdom,
M17 1AF",00063827,20590,-13.50,-22.50,14.50,12.70,32.30,37.50,95.00,5.00,90.00,10.00,78.00,22.00,82.00,18.00,,Jonathan Tan (Finance Director)
HR ESSENTIALS LIMITED,"Blenheim Court, 17 Newbold Road,
Chesterfield,
Derbyshire,
S41 7PG",04646287,78300,5.00,0.70,161.50,41.30,5.60,7.20,78.70,21.30,64.10,35.90,33.30,66.70,100.00,0.00,http://www.essentialrecruitment.co.uk/,Carl Wootton (Financial Director)
HUDSON GLOBAL RESOURCES LIMITED,"Chancery House, 53-64 Chancery Lane,
London,
WC2A 1QS",03206355,78300,18.00,20.00,27.00,31.00,81.00,72.00,36.00,64.00,51.00,49.00,38.00,62.00,54.00,46.00,https://uk.hudson.com/Portals/UK/documents/Hudson-Gender-pay-2017.pdf,Laurel Dines (HR Director)
Hugo Boss UK Ltd.,"39 Plender Street,
London,
United Kingdom,
NW1 0DT",03484933,"47710,
47721",7.20,4.70,43.00,4.00,17.00,18.00,49.00,51.00,54.00,46.00,58.00,42.00,63.00,37.00,,Canute Thompson (Payroll Manager)
Hyndburn Borough Council,"Straitcliffe House,
Ormerod Street,
Accrington,
Lancashire,
United Kingdom,
BB5 0PF",,"1,
84110",6.20,2.70,0.00,0.00,0.00,0.00,49.30,50.70,58.60,41.40,60.00,40.00,56.30,43.70,https://www.hyndburnbc.gov.uk/download-package/workforce-profile/,
I4 Pay Partners Ltd.,"71-75, Shelton Street,
Covent Garden,
London,
WC2H 9JQ",05407362,70229,-2.00,-10.00,6.50,-13.70,95.90,95.00,40.60,59.40,28.70,71.30,29.20,70.80,29.10,70.90,http://www.i4groupuk.com,Nicholas Stevenson (Director)
Ideal Carehomes (Number One) Ltd.,"Unit 2 Helios 47,
Isabella Road Garforth,
Leeds,
West Yorkshire,
United Kingdom,
LS25 2DY",07535382,87300,3.00,6.00,44.00,5.00,52.00,56.00,16.00,84.00,7.00,93.00,8.00,92.00,6.00,94.00,,Philip Raven (Director)
Imperial Commercials Ltd,"Imperial House,
14-15 High Street,
High Wycombe,
Buckinghamshire,
United Kingdom,
HP11 2BE",00653665,"45190,
45200,
45320",17.00,21.00,36.50,-6.80,50.00,49.20,76.40,23.60,77.10,22.90,91.40,8.60,92.10,7.90,,John Spence (Group HR Director)
Incommunities Group Ltd.,"The Quays, Victoria Street,
Shipley,
West Yorkshire,
BD17 7BN",04221767,55900,2.50,11.20,-0.60,0.00,2.70,3.90,72.00,28.00,82.00,18.00,44.00,56.00,71.00,29.00,https://www.incommunities.co.uk/corporate,Geraldine Howley (Group Chief Executive)
Independence Matters C.I.C.,"Dereham Community Hub,
Rashs Green,
Dereham,
Norfolk,
United Kingdom,
NR19 1JG",08530621,"87200,
87300,
88100,
88990",-2.20,-2.00,0.00,0.00,0.00,0.20,29.80,70.20,27.50,72.50,25.30,74.70,25.70,74.30,http://www.independencematters.org.uk/why-choose-us/genda-pay-reporting/,Sarah Stock (Managing Director)
Independent Catering Management Ltd.,"8-10 South Street,
Epsom,
Surrey,
United Kingdom,
KT18 7PF",03222546,56290,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,40.00,60.00,https://independentcatering.co.uk,Diane Shepherd (Finance Director)
Indigo Sun Retail Ltd.,"63 Glasgow Road,
Stirling,
Stirlingshire,
United Kingdom,
FK7 0PA",SC124986,96020,28.00,39.70,0.90,73.40,44.40,80.00,11.10,88.90,11.10,88.90,0.00,100.00,5.90,94.10,,Laura France (Office Manager)
Industrial Site Maintenance Ltd,"Unit 6-7 Mere Farm Business Complex Redhouse Lane,
Hannington,
Northampton,
Northants,
United Kingdom,
NN6 9SZ",06603046,81299,-1.40,0.00,-26.40,-11.10,15.60,12.70,69.00,31.00,67.00,33.00,84.00,16.00,76.00,24.00,,Angus McFadzean (Managing Director)
INN ON THE PARK (LONDON) LIMITED,"35, Great St. Helen's,
London,
England,
EC3A 6AP",01859449,55100,8.30,11.10,31.00,66.00,93.10,82.30,58.70,41.30,46.10,53.90,57.90,42.10,69.70,30.30,,Derek Rostel (Director of Human Resources)
INNOGY BUSINESS SERVICES UK LIMITED,"Windmill Hill Business Park, Whitehill Way,
Swindon,
SN5 6PB",06052966,62090,23.00,29.00,29.00,32.00,95.00,97.00,32.00,68.00,45.00,55.00,62.00,38.00,74.00,26.00,https://www.npowerjobs.com/resources/Commentary_innogy_Business_Services.pdf,Christopher Pilgrim (innogy Business Services Board member)
INNOGY RENEWABLES UK LIMITED,"Windmill Hill Business Park, Whitehill Way,
Swindon,
SN5 6PB",02550622,35110,22.00,20.00,28.00,17.00,74.00,77.00,63.00,37.00,72.00,28.00,82.00,18.00,87.00,13.00,https://www.innogy.com/web/cms/mediablob/en/3839974/data/3708678/1/innogy-renewables-uk/2017-Gender-Pay-Report.pdf,Paul Cowling (Managing Director)
Inspiration Trust,"Weights And Measures Building,
28 Bethel Street,
Norwich,
United Kingdom,
NR2 1NR",08179349,"1,
85200,
85310",17.80,17.60,1.80,30.40,4.00,0.80,13.60,86.40,32.90,67.10,28.20,71.80,36.60,63.40,http://www.inspirationtrust.org/page/?title=Gender+pay+gap+reporting&pid=1090,
Integrated Cleaning Management Ltd.,"Parklands Court 24 Parklands Birmingham Great Park,
Rubery,
Birmingham,
West Midlands,
United Kingdom,
B45 9PZ",03193989,"81210,
81221,
81222",5.80,0.30,24.00,-4.00,2.50,1.10,38.10,61.90,31.90,68.10,27.40,72.60,45.80,54.20,https://www.compass-group.co.uk/media/3405/gender-pay-gap-2017.pdf,Donna Catley (HR Director)
Intelligent Office UK Ltd.,"Kilncraigs,
Greenside Street,
Alloa,
Stirlingshire,
United Kingdom,
FK10 1EB",SC077144,"63110,
70229,
82190,
82990",-9.70,-13.30,-30.90,-25.00,10.30,11.90,31.00,69.00,23.00,77.00,34.00,66.00,16.00,84.00,,Rachel McCorry (CEO)
Intelligent Processing Solutions Ltd.,"1st, Floor, Building 6 Chiswick Park,
566 Chiswick High Road,
London,
United Kingdom,
W4 5HR",04007855,64999,27.00,15.00,71.00,50.00,49.00,37.00,30.00,70.00,23.00,77.00,23.00,77.00,62.00,38.00,https://www.ipsl.co.uk/wp-content/uploads/2018/01/Our-2017-Gender-Pay-Gap-Report-v8.pdf,Royston Hoggarth (CEO)
INTERFLOOR LIMITED,"Broadway, Haslingden,
Rossendale,
BB4 4LS",00162988,32990,12.80,11.10,92.00,91.30,5.20,2.90,75.00,25.00,96.10,3.90,93.50,6.50,89.50,10.50,https://www.interfloor.com/gender-pay-gap-reporting-2017/,John Cooper (CEO)
Invictus Education Trust,"Ward House,
Himley Park,
Himley,
West Midlands,
United Kingdom,
DY3 4DF",09284368,"1,
85310",27.80,54.20,0.00,0.00,0.00,0.00,12.30,87.70,34.80,65.20,30.80,69.20,42.10,57.90,http://www.invictus.education/,
Ivor Shaw Ltd.,"City Gate,
London Road,
Derby,
Derbyshire,
United Kingdom,
DE24 8WY",00755641,"26600,
46460",19.30,16.70,48.50,-33.30,14.80,13.80,54.20,45.80,30.50,69.50,25.40,74.60,17.20,82.80,https://www.penninehealthcare.co.uk/about-pennine/human-resources/,Magali Topley (Head of Human Resources)
J5C Management Ltd.,"Heatherwell House,
Station Road,
Lingfield,
Surrey,
United Kingdom,
RH7 6EF",08527453,56102,2.00,1.00,-13.00,-18.00,20.00,10.00,56.00,44.00,66.00,34.00,28.00,72.00,80.00,20.00,,Paul Jones (People Manager)
John Innes Centre,"Norwich Research Park,
Colney,
Norwich,
United Kingdom,
NR4 7UH",00511709,72190,16.20,4.80,24.80,0.00,11.20,6.80,43.00,57.00,48.00,52.00,51.00,49.00,73.00,27.00,https://www.jic.ac.uk/media/cms_page_media/213/John%20Innes%20Centre%20Gender%20Pay%20and%20Bonus%20Report%202017.pdf,Dale Sanders (Director)
John Lewis PLC,"171, Victoria Street,
London,
SW1E 5NN",00233462,"47190,
70100",13.90,7.80,30.10,41.30,97.00,97.00,37.00,63.00,35.00,65.00,42.00,58.00,56.00,44.00,http://www.johnlewispartnership.co.uk/resources/library/reports.html,Tracey Killen (Director of Personnel)
Katharine House Hospice,"Weston Road,
Stafford,
United Kingdom,
ST16 3SB",02700516,"86102,
86900,
96040",-0.20,-9.30,-100.00,-100.00,4.40,0.50,37.30,62.70,10.20,89.80,13.30,86.70,15.20,84.80,https://www.khhospice.org.uk/sites/default/files/publications/Mtg%2011%20-%20December%202017%20-%20x%20-%20Gender%20Pay%20Gap%20Report..pdf,Richard Soulsby (Chief Executive)
KELTRUCK LIMITED,"Kenrick Way, West Bromwich,
West Midlands,
B71 4JW",02880543,45310,12.60,17.30,-17.20,-137.50,72.10,53.40,77.10,22.90,76.60,23.40,99.10,0.90,91.60,8.40,https://keltruck.com/wp-content/uploads/2018/01/gender-pay-gap.pdf,Alec Kokinis (Company Secretary)
KEYSIGHT TECHNOLOGIES UK LIMITED,"610, Wharfedale Road,
Winnersh Triangle,
Wokingham,
RG41 5TP",03809903,82990,25.00,21.00,70.00,21.00,56.00,38.00,75.00,25.00,85.00,15.00,77.00,23.00,82.00,18.00,http://jobs.keysight.com/static/media/uploads/documents/uk_gender_diversity_report_2017.pdf,Carole Tomlinson (Senior Human Resources Manager)
Kimal Holdings Ltd.,"Kimal,
Arundel Road,
Uxbridge,
Middlesex,
United Kingdom,
UB8 2SA",07912443,70100,11.00,-2.40,53.10,21.30,30.90,32.10,51.90,48.10,45.60,54.40,38.20,61.80,50.00,50.00,,Bridget Brooks (HR Manager)
Kindertons Ltd.,"Kindertons House,
Marshfield Bank,
Crewe,
Cheshire,
United Kingdom,
CW2 8UY",03711080,"77110,
82200",8.60,0.00,2.70,-56.20,70.30,80.80,61.90,38.10,56.60,43.40,45.60,54.40,62.50,37.50,,Neil Cunningham (Group CEO)
Kingspan,"St Hildas Street,
Sherburn,
Malton,
North Yorkshire,
United Kingdom,
YO17 8PQ",03263720,25990,13.00,4.10,18.00,0.00,89.00,82.00,76.00,24.00,88.00,12.00,91.00,9.00,88.00,12.00,https://www.kingspan.com/gb/en-gb/about-kingspan/kingspan-insulated-panels,Pamela Mulliner (Head of HR)
Kingspan Insulation Ltd.,"Pembridge,
Leominster,
Herefordshire,
United Kingdom,
HR6 9LA",01882722,43999,19.00,8.00,40.00,-53.00,83.00,84.00,51.00,49.00,91.00,9.00,76.00,24.00,81.00,19.00,https://www.kingspan.com/gb/en-gb/about-kingspan/kingspan-insulation/sustainability-and-responsibility,"Susan Ewart (Head of HR, Britain & Ireland)"
Kingspan Ltd.,". Bagillt Road, Greenfield Business Park  No. 2,
Greenfield,
Holywell,
Clwyd,
United Kingdom,
CH8 7GJ",01037468,25990,4.10,13.00,18.00,0.00,89.00,82.20,75.70,24.30,88.10,11.90,91.00,9.00,88.10,11.90,https://www.kingspan.com/gb/en-gb/about-kingspan/kingspan-insulated-panels,Pamela Mulliner (Head of HR)
Kingston Smith Group Services Ltd.,"Devonshire House,
60 Goswell Road,
London,
United Kingdom,
EC1M 7AD",07154990,82990,7.00,0.00,52.10,50.00,33.20,18.60,56.50,43.50,42.60,57.40,35.20,64.80,63.00,37.00,https://www.kingstonsmith.co.uk/insights/gender-pay-gap-report-2017/,Maureen Penfold (Managing Partner)
Kms (UK) Ltd,"1st-4th Floors 203 Victoria Street,
London,
United Kingdom,
SW1E 5NE",03545205,78300,1.30,0.00,-1.80,0.00,0.60,1.10,55.00,45.00,0.00,100.00,20.00,80.00,26.50,73.50,,Clive Gates (Director)
KNIGHTON FOODS LIMITED,"Premier House Centrium Business Park, Griffiths Way,
St Albans,
United Kingdom,
AL1 2RE",08954731,10890,21.10,2.10,100.00,100.00,6.00,0.00,81.00,19.00,77.00,23.00,82.00,18.00,68.00,32.00,http://www.premierfoods.co.uk/responsibility/Gender-Diversity,David Wilkinson (HR and Communications Director)
Koito Europe Ltd.,"Kingswood Road,
Hampton Lovett Ind Estate,
Droitwich,
Worcestershire,
United Kingdom,
WR9 0QH",00945580,29310,18.00,0.00,0.00,0.00,0.00,0.00,73.00,27.00,74.00,26.00,76.00,24.00,94.00,6.00,http://www.koito-europe.co.uk/,David Bevan (Finance Director)
KONDOR LIMITED,"Kondor Headquarters Christchurch Business Park, Radar Way,
Christchurch,
BH23 4FL",03948290,46180,12.60,-0.70,14.80,0.00,80.40,81.60,56.10,43.90,53.20,46.80,45.30,54.70,63.90,36.10,,S Thompstone (Payroll Officer and HR Administrator)
Kostal UK Ltd.,"Unit 16,
Goldthorpe Industrial Estate,
Goldthorpe, Rotherham,
South Yorkshire,
United Kingdom,
S63 9BL",02481321,29310,19.50,9.00,40.40,0.00,99.20,100.00,53.00,47.00,63.00,37.00,72.00,28.00,82.00,18.00,,Harald Zender (Managing Director)
KPMG UK LIMITED,"15, Canada Square,
Canary Wharf,
London,
E14 5GL",03580549,78300,22.30,22.10,51.30,27.60,86.20,85.80,43.90,56.10,45.40,54.60,53.30,46.70,66.80,33.20,https://assets.kpmg.com/content/dam/kpmg/uk/pdf/2017/12/pay-gap-report-2017.pdf,Philip Davidson (Managing Partner)
KPPES LTD,"121, Moffat Street,
Glasgow,
G5 0ND",SC349485,82990,6.00,3.00,0.00,0.00,0.00,0.00,27.00,73.00,34.00,66.00,31.00,69.00,38.00,62.00,https://keyportfolio.co.com/gender-pay-gap,Gary Walker (Director)
Kuehne + Nagel Drinks Logistics Ltd.,"Kuehne + Nagel House,
Sunrise Parkway,
Linford Wood,
Milton Keynes,
United Kingdom,
MK14 6BW",05761433,52103,10.70,18.90,-28.50,0.00,16.50,21.40,81.00,19.00,92.00,8.00,97.00,3.00,93.00,7.00,https://uk.kuehne-nagel.com/index.php?id=8125,Jon Hettrick (UK HR Director)
Kuehne + Nagel Ltd.,"1 Roundwood Avenue,
Stockley Park,
Uxbridge,
England,
UB11 1FG",01722216,52290,4.90,8.10,40.60,36.00,15.50,21.70,71.00,29.00,75.00,25.00,84.00,16.00,77.00,23.00,https://uk.kuehne-nagel.com/index.php?id=8125,Jon Hettrick (UK HR Director)
Lacoste UK Ltd.,"Holborn Gate,
326 - 330 High Holborn,
London,
United Kingdom,
WC1V 7PP",02365718,"46420,
47710,
47721",1.20,4.40,-2.40,19.50,91.30,86.20,44.00,56.00,54.10,45.90,54.10,45.90,50.00,50.00,,Tomi Piirto (Finance Director)
Ladbrokes Betting & Gaming Ltd.,"5th Floor The Zig Zag Building,
70 Victoria Street,
London,
England,
England,
SW1E 6SQ",00775667,92000,15.00,2.00,70.00,25.00,73.00,82.00,46.00,54.00,46.00,54.00,46.00,54.00,59.00,41.00,https://www.ladbrokescoralplc.com/~/media/Files/L/Ladbrokes-Coral-Group/responsible-business-downloads/gender-pay-reporting-dec-2017-v2.pdf,Neil Cuthbertson (Director of Reward)
Ladbrokes Coral Group PLC,"5th Floor The Zig Zag Building,
70 Victoria Street,
London,
England,
England,
SW1E 6SQ",00566221,92000,15.00,2.50,76.00,25.00,77.00,80.00,46.00,54.00,47.00,53.00,46.00,54.00,60.00,40.00,https://www.ladbrokescoralplc.com/~/media/Files/L/Ladbrokes-Coral-Group/responsible-business-downloads/gender-pay-reporting-dec-2017-v2.pdf,Neil Cuthbertson (Director of Reward)
Lady Manners School,"Shutts Lane,
Bakewell,
Derbyshire,
DE45 1JA",,1,24.70,52.60,0.00,0.00,0.00,0.00,15.00,85.00,25.00,75.00,30.00,70.00,49.00,51.00,http://www.ladymanners.net/,
LAGARDÈRE TRAVEL RETAIL (UK) LTD,"Number 22, Mount Ephraim,
Tunbridge Wells,
TN4 8AS",05092104,47190,12.50,12.20,42.30,38.50,68.40,34.80,9.40,90.60,40.50,59.50,35.70,64.30,50.00,50.00,,Sheila Riley (HR Manager)
Lancaster & Morecambe College,"Morecambe Road,
Lancaster,
Lancashire,
United Kingdom,
LA1 2TY",,"1,
85320",6.90,11.20,0.00,0.00,0.00,0.00,31.80,68.20,25.50,74.50,25.50,74.50,41.80,58.20,https://www.lmc.ac.uk/the-college/equality-diversity-and-inclusion,
Land Securities Properties Ltd.,"100 Victoria Street,
London,
United Kingdom,
SW1E 5JL",00961477,41100,33.30,36.30,66.70,62.50,79.00,77.10,23.90,76.10,40.60,59.40,58.00,42.00,69.60,30.40,https://landsec.com/about/corporate-governance/gender-pay,Diana Breeze (Group Human Resources Director)
Lathams Ltd.,"Unit 3 Swallow Park,
Finway Road,
Hemel Hempstead,
Hertfordshire,
United Kingdom,
HP2 7QU",00967247,46730,-5.00,-34.00,15.80,4.60,86.40,84.10,95.50,4.50,94.30,5.70,75.00,25.00,87.50,12.50,,David Dunmow (Finance Director)
Lawn Tennis Association Ltd.,"The National Tennis Centre 100 Priory Lane,
Roehampton,
London,
United Kingdom,
SW15 5JQ",07459469,93199,31.00,18.00,55.00,16.00,87.00,74.00,39.00,61.00,45.00,55.00,54.00,46.00,66.00,34.00,https://www.lta.org.uk/globalassets/about-lta/annual-reports/lta-gender-pay-gap-report-2017.pdf,Vicky Williams (People Director)
Lawrence David Ltd.,"Woodston Point,
Shrewsbury Avenue,
Peterborough,
Cambridgeshire,
United Kingdom,
PE2 7BY",01110305,71129,19.10,-5.70,79.20,-8.90,98.40,72.70,93.00,7.00,89.00,11.00,89.00,11.00,89.00,11.00,,EMMA GRAHAM (company secretary)
Leeds Arts University,"Blenheim Walk,
Leeds,
LS2 9BP",,1,3.60,5.70,0.00,0.00,0.00,0.00,39.70,60.30,44.90,55.10,39.10,60.90,47.10,52.90,http://www.leeds-art.ac.uk/about-us/governance/gender-pay-gap-reporting/,
Leeds City Council,"Farnley Hall,
Hall Lane,
Leeds,
West Yorkshire,
United Kingdom,
LS12 5HA",,"1,
84110",8.60,13.10,-8.20,-1.60,3.80,0.00,21.20,78.80,46.70,53.30,47.50,52.50,42.00,58.00,,
LENDLEASE CONSTRUCTION (EUROPE) LIMITED,"20, Triton Street,
Regent's Place,
London,
NW1 3BF",00467006,41201,30.40,33.00,65.40,51.40,78.50,78.20,67.00,33.00,71.00,29.00,91.00,9.00,94.00,6.00,http://www.lendlease.com/uk/company/about-us/diversity-and-inclusion/gender-pay-gap/,"Dan Labbad (Chief Executive Officer, International Operations)"
Lenham Storage Co. Ltd.,"MENZIES LLP,
Ashcombe House,
5 The Crescent,
Leatherhead,
Surrey,
United Kingdom,
KT22 8DY",00463800,49410,9.70,8.60,-4.40,-5.30,44.10,40.90,72.00,28.00,70.00,30.00,87.00,13.00,84.00,16.00,,Anthony Burgess (Financial Director)
Leonardo Mw Ltd,"Sigma House, Christopher Martin,
Road, Basildon,
Essex,
United Kingdom,
SS14 3EL",02426132,84220,18.50,20.40,39.90,0.00,94.70,91.90,67.00,33.00,88.20,11.80,88.80,11.20,91.60,8.40,http://www.uk.leonardocompany.com/-/gender-pay-gap-reporting,Norman Bone (Chairman and Managing Director Leonardo MW Ltd)
